City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tommot,58.9564,126.2925,248.5,85,100,2.62,RU,1675832477
1,kavieng,-2.5744,150.7967,301.13,76,100,4.0,PG,1675832381
2,billings,45.7833,-108.5007,278.02,53,0,5.36,US,1675832374
3,vianopolis,-16.7419,-48.5164,291.31,91,88,1.17,BR,1675832480
4,dikson,73.5069,80.5464,253.03,89,100,9.94,RU,1675832480
5,bengkulu,-3.8004,102.2655,302.75,56,79,4.48,ID,1675832233
6,piacabucu,-10.4056,-36.4344,297.88,75,100,3.22,BR,1675832483
7,kaitangata,-46.2817,169.8464,287.54,52,22,6.54,NZ,1675832484
8,lagoa,39.05,-27.9833,285.93,61,89,5.93,PT,1675832357
9,batemans bay,-35.7167,150.1833,294.87,80,100,0.63,AU,1675832486
10,vestmannaeyjar,63.4427,-20.2734,273.22,59,100,16.51,IS,1675832486
11,mongo,12.1844,18.693,293.63,21,33,2.61,TD,1675832488
12,aktau,43.65,51.2,274.47,79,99,7.17,KZ,1675832489
13,port alfred,-33.5906,26.891,293.81,86,100,1.79,ZA,1675832489
14,lodja,-3.4833,23.4333,294.7,88,100,0.16,CD,1675832490
15,mackay,-21.15,149.2,300.75,83,90,10.79,AU,1675832427
16,ponta do sol,32.6667,-17.1,288.55,70,33,3.3,PT,1675832491
17,tuy hoa,13.0833,109.3,299.82,76,38,3.28,VN,1675832492
18,port elizabeth,-33.918,25.5701,293.32,93,40,3.6,ZA,1675832493
19,banyo,6.75,11.8167,291.58,22,36,1.33,CM,1675832495
20,nhulunbuy,-12.2333,136.7667,303.49,74,75,4.12,AU,1675832497
21,ushuaia,-54.8,-68.3,283.96,71,40,1.54,AR,1675832351
22,butaritari,3.0707,172.7902,300.58,81,100,9.55,KI,1675832498
23,busselton,-33.65,115.3333,301.22,44,0,3.84,AU,1675832499
24,lukaya,-0.1489,31.8748,293.45,74,57,1.09,UG,1675832499
25,rikitea,-23.1203,-134.9692,299.63,71,61,4.02,PF,1675832500
26,katsuura,35.1333,140.3,283.02,70,98,8.0,JP,1675832502
27,chokurdakh,70.6333,147.9167,236.35,99,100,1.82,RU,1675832268
28,scarborough,54.2797,-0.4044,278.89,89,42,0.45,GB,1675832424
29,thompson,55.7435,-97.8558,256.24,85,75,1.03,CA,1675832505
30,ancud,-41.8697,-73.8203,285.98,94,1,1.64,CL,1675832505
31,vaini,-21.2,-175.2,298.24,100,75,2.57,TO,1675832506
32,hobart,-42.8794,147.3294,291.63,64,40,6.69,AU,1675832506
33,narsaq,60.9167,-46.05,254.27,66,22,4.22,GL,1675832507
34,mahibadhoo,3.7833,72.9667,300.25,66,37,2.46,MV,1675832508
